grafo_id,n,num_edges,mixer,p,num_params,ground_energy,initial_problem_energy,energy_final,absolute_error,relative_error,runtime_min,num_restarts,maxiter,method,best_init_name,optimizer_success,optimizer_nfev,optimizer_nit
1,6,10,jx,18,36,-20.0,-12.5,-19.494886535958567,0.5051134640414325,0.025255673202071626,6.518137669563293,25,200,L-BFGS-B,warm,True,111,1
1,6,10,jx,19,38,-20.0,-12.5,-19.494886535963158,0.5051134640368424,0.025255673201842122,7.245593297481537,25,200,L-BFGS-B,warm,True,117,1
1,6,10,jx,20,40,-20.0,-12.5,-19.494886535967115,0.5051134640328847,0.025255673201644235,8.342829155921937,25,200,L-BFGS-B,warm,True,123,1
2,6,11,jx,1,2,-18.0,-13.749999999999998,-16.499322155161718,1.5006778448382825,0.08337099137990459,0.0039336919784545895,25,200,L-BFGS-B,random_22,True,90,6
2,6,11,jx,2,4,-18.0,-13.749999999999998,-17.097905066624982,0.9020949333750181,0.05011638518750101,0.01819061040878296,25,200,L-BFGS-B,random_23,True,415,45
2,6,11,jx,3,6,-18.0,-13.749999999999998,-17.402934110526513,0.5970658894734875,0.03317032719297153,0.0466118574142456,25,200,L-BFGS-B,random_21,True,259,26
2,6,11,jx,4,8,-18.0,-13.749999999999998,-17.640556602047717,0.3594433979522833,0.01996907766401574,0.11488765080769857,25,200,L-BFGS-B,random_23,True,315,27
2,6,11,jx,5,10,-18.0,-13.749999999999998,-17.741617631157084,0.2583823688429163,0.014354576046828684,0.20781930287679037,25,200,L-BFGS-B,random_9,True,1034,63
2,6,11,jx,6,12,-18.0,-13.749999999999998,-17.80729832492843,0.19270167507157154,0.010705648615087307,0.44479665756225584,25,200,L-BFGS-B,random_3,True,780,53
2,6,11,jx,7,14,-18.0,-13.749999999999998,-17.870419766082698,0.12958023391730222,0.007198901884294568,0.6391641656557719,25,200,L-BFGS-B,random_7,True,1140,60
2,6,11,jx,8,16,-18.0,-13.749999999999998,-17.926389411072613,0.07361058892738725,0.0040894771626326255,1.13252454996109,25,200,L-BFGS-B,random_12,False,4029,200
2,6,11,jx,9,18,-18.0,-13.749999999999998,-17.926547175002206,0.07345282499779415,0.004080712499877453,1.431835118929545,25,200,L-BFGS-B,warm,False,4142,200
2,6,11,jx,10,20,-18.0,-13.749999999999998,-17.949466069255177,0.05053393074482315,0.0028074405969346194,2.0189797560373943,25,200,L-BFGS-B,warm,False,4599,200
2,6,11,jx,11,22,-18.0,-13.749999999999998,-17.961857500682882,0.038142499317117995,0.0021190277398398885,2.6494871576627097,25,200,L-BFGS-B,warm,False,4991,200
2,6,11,jx,12,24,-18.0,-13.749999999999998,-17.962178415094122,0.037821584905877614,0.002101199161437645,3.3658322930335998,25,200,L-BFGS-B,warm,False,5450,200
2,6,11,jx,13,26,-18.0,-13.749999999999998,-17.962222843996656,0.03777715600334375,0.0020987308890746525,3.3624928553899127,25,200,L-BFGS-B,warm,False,5805,200
2,6,11,jx,14,28,-18.0,-13.749999999999998,-17.962455623728715,0.03754437627128482,0.0020857986817380456,4.952098846435547,25,200,L-BFGS-B,random_7,False,6438,200
2,6,11,jx,15,30,-18.0,-13.749999999999998,-17.976917759636834,0.023082240363166306,0.0012823466868425726,5.786095499992371,25,200,L-BFGS-B,warm,False,6789,200
2,6,11,jx,16,32,-18.0,-13.749999999999998,-17.98284635676,0.01715364324000035,0.0009529801800000194,6.509919186433156,25,200,L-BFGS-B,warm,False,7029,200
2,6,11,jx,17,34,-18.0,-13.749999999999998,-17.987927635486397,0.012072364513603162,0.0006706869174223979,7.433047648270925,25,200,L-BFGS-B,warm,False,7560,200
2,6,11,jx,18,36,-18.0,-13.749999999999998,-17.992737568280376,0.007262431719624374,0.0004034684288680208,8.101903251806895,25,200,L-BFGS-B,warm,False,7918,200
2,6,11,jx,19,38,-18.0,-13.749999999999998,-17.99431098216852,0.005689017831478793,0.0003160565461932663,8.384559388955434,25,200,L-BFGS-B,warm,False,8385,200
2,6,11,jx,20,40,-18.0,-13.749999999999998,-17.996338885825306,0.003661114174693836,0.00020339523192743533,8.893547125657399,25,200,L-BFGS-B,warm,False,8897,200
3,6,11,jx,1,2,-22.0,-13.749999999999998,-16.929545696542665,5.0704543034573355,0.23047519561169708,0.004091489315032959,25,200,L-BFGS-B,random_9,True,39,7
3,6,11,jx,2,4,-22.0,-13.749999999999998,-18.38360119335701,3.616398806642991,0.16438176393831777,0.01634418567021688,25,200,L-BFGS-B,random_17,True,185,17
3,6,11,jx,3,6,-22.0,-13.749999999999998,-19.00448429337267,2.99551570662733,0.13615980484669682,0.05278330246607463,25,200,L-BFGS-B,random_16,True,973,80
3,6,11,jx,4,8,-22.0,-13.749999999999998,-19.08853494760605,2.9114650523939503,0.13233932056336137,0.09960019985834757,25,200,L-BFGS-B,random_4,True,513,44
