grafo_id,num_edges,ground_energy,iteraciones,energia_final,diferencia_ground,gradiente_final,runtime_min,initial_energy
65,11,-22.0,50,-21.89900607184293,0.1009939281570702,0.01018036296736661,25.757385623455047,-12.000000000000002
66,7,-14.0,29,-13.999999999936358,6.364153648519277e-11,3.595374820027155e-05,3.9451467235883078,-12.000000000000002
67,11,-20.0,50,-19.990417256793705,0.009582743206294708,0.12430350571580033,27.481011327107748,-12.000000000000002
68,8,-16.0,41,-15.999494707012758,0.0005052929872420009,0.006453134450461957,13.986260803540548,-12.000000000000002
69,8,-16.0,50,-15.998051740929021,0.0019482590709785086,0.015231860079316673,21.068112671375275,-12.000000000000002
70,8,-16.0,50,-15.98909195013156,0.010908049868440628,0.04294600755713874,23.64049761692683,-12.000000000000002
71,8,-16.0,50,-15.988352532897304,0.01164746710269604,0.12916841058261422,26.975047345956167,-12.000000000000002
72,11,-22.0,50,-21.844231436948945,0.1557685630510548,0.08144559677495179,24.930649522940318,-12.000000000000002
73,9,-18.0,50,-17.959449051030255,0.04055094896974509,0.2199375060744009,20.102432497342427,-12.000000000000002
74,9,-16.0,23,-15.999505314760437,0.0004946852395626422,0.008660866420191187,2.544786830743154,-12.000000000000002
75,13,-24.0,50,-23.971320568191327,0.028679431808672717,0.4253099825943947,20.75233741601308,-12.000000000000002
76,10,-18.0,27,-17.999999999847493,1.525073400898691e-10,2.4567688770626224e-05,3.5729090770085654,-12.000000000000002
77,12,-22.0,50,-21.99644657910891,0.003553420891091008,0.01448502223399771,18.969699068864188,-12.000000000000002
78,7,-12.0,24,-11.999998977712513,1.0222874866627762e-06,0.0023011172005020365,1.72701545159022,-12.000000000000002
79,14,-24.0,50,-23.856838640053155,0.14316135994684487,0.21755898514021849,21.001398714383445,-12.000000000000002
80,8,-14.0,15,-13.999999999995026,4.973799150320701e-12,1.3462287561078576e-05,1.1387209256490072,-12.000000000000002
81,6,-12.0,42,-11.850984591656832,0.14901540834316762,0.00940985223834868,9.764134196440379,-12.000000000000002
82,14,-24.0,50,-23.979403252723547,0.020596747276453442,0.2304729064868719,20.79471936225891,-12.000000000000002
83,8,-14.0,50,-13.994803988728185,0.005196011271815237,0.08418873320977345,15.87448453505834,-12.000000000000002
84,8,-16.0,50,-15.999721272855059,0.00027872714494137085,0.02483309466956194,16.446488773822786,-12.000000000000002
85,6,-12.0,50,-11.999239104493043,0.0007608955069571266,0.014307187637949217,20.440102338790894,-12.000000000000002
86,6,-12.0,22,-11.999952855652863,4.7144347137262343e-05,0.00821549340167874,1.361039125919342,-12.000000000000002
87,12,-20.0,42,-19.99999998787532,1.2124679926728277e-08,7.356612475073483e-05,11.91909335454305,-12.000000000000002
88,8,-16.0,48,-15.85171826316173,0.1482817368382694,0.009207004542741556,13.599687671661377,-12.000000000000002
89,13,-22.0,50,-21.997424527106013,0.002575472893987296,0.06097996270630659,27.07376341422399,-12.000000000000002
90,13,-22.0,50,-21.864882225014718,0.13511777498528232,0.37573688688730483,15.833670818805695,-12.000000000000002
