grafo_id,num_edges,ground_energy,ground_degeneracy,spectral_gap,iteraciones,energia_final,diferencia_ground,approx_ratio,gradiente_final,pool_size,runtime_min,initial_energy,converged
125,5,-10.0,24,0.0,25,-9.999999999613332,3.866684750164495e-10,0.9999999999613332,3.839517115858269e-05,438,0.9341550707817078,-10.000000000000002,1
126,6,-12.0,18,0.0,50,-11.999239129052933,0.000760870947067005,0.9999365940877444,0.014307672630259125,534,3.3232165972391763,-10.000000000000002,0
127,5,-10.0,18,0.0,11,-9.999999999997787,2.213340621892712e-12,0.9999999999997786,5.54438868135844e-06,464,0.08400952418645223,-10.000000000000002,1
128,6,-12.0,18,0.0,50,-11.997475356878855,0.002524643121144976,0.9997896130732379,0.016959089764215316,534,2.1086101214090984,-10.000000000000002,0
129,6,-12.0,12,0.0,50,-11.997785231694959,0.0022147683050413036,0.9998154359745799,0.00953312160570802,568,2.2065340280532837,-10.000000000000002,1
130,7,-14.0,6,0.0,22,-13.999999999954746,4.525446684056078e-11,0.9999999999967676,1.7316187633884733e-05,740,0.21778364976247153,-10.000000000000002,1
131,5,-10.0,36,0.0,38,-9.999772246694164,0.0002277533058361314,0.9999772246694164,0.007325247019546445,404,0.9111479918162028,-10.000000000000002,1
132,5,-10.0,24,0.0,25,-9.99999999887053,1.1294698509800583e-09,0.999999999887053,5.506241873394292e-05,438,0.2751797596613566,-10.000000000000002,1
133,5,-10.0,36,0.0,29,-9.999787162714801,0.00021283728519883027,0.9999787162714802,0.005515137477161974,404,0.6219630638758341,-10.000000000000002,1
134,5,-10.0,24,0.0,15,-9.999999999645217,3.54782869749215e-10,0.9999999999645217,4.405031077303574e-05,480,0.12607349554697672,-10.000000000000002,1
135,7,-14.0,6,0.0,50,-13.919608915494782,0.08039108450521759,0.9942577796781987,0.08003736515531464,740,2.096347645918528,-10.000000000000002,0
136,9,-16.0,18,0.0,50,-15.999291900538967,0.0007080994610326741,0.9999557437836855,0.021857883231836333,1152,1.7445815404256184,-10.000000000000002,0
137,9,-16.0,18,0.0,46,-15.999615630951658,0.0003843690483424922,0.9999759769344786,0.009187609061243057,1152,1.5041528900464376,-10.000000000000002,1
138,6,-12.0,18,0.0,50,-11.999239747832998,0.000760252167001596,0.9999366456527499,0.014437428658544792,534,2.629140027364095,-10.000000000000002,0
139,5,-10.0,18,0.0,35,-9.999991373680615,8.626319385030001e-06,0.9999991373680615,0.005411925301746121,464,0.6089989542961121,-10.000000000000002,1
140,6,-12.0,12,0.0,50,-11.999165764224115,0.0008342357758852614,0.9999304803520096,0.024099669502468973,610,1.8466744025548298,-10.000000000000002,0
141,6,-12.0,12,0.0,24,-11.85185185178825,0.1481481482117495,0.9876543209823542,1.2990857157759002e-05,610,0.26141058603922523,-10.000000000000002,1
142,7,-14.0,12,0.0,50,-13.949008245079042,0.05099175492095753,0.9963577317913602,0.012018051084112073,698,4.938187948862711,-10.000000000000002,0
143,8,-14.0,42,0.0,46,-13.999804015693055,0.00019598430694500735,0.9999860011209325,0.006538703929064994,946,6.500903042157491,-10.000000000000002,1
144,9,-16.0,18,0.0,50,-15.988124450047437,0.011875549952563347,0.9992577781279648,0.20227174727176142,1152,2.8625334819157917,-10.000000000000002,0
145,5,-10.0,36,0.0,24,-9.999999999531465,4.685354326738889e-10,0.9999999999531465,3.4365502371205617e-05,404,0.25267568429311116,-10.000000000000002,1
146,5,-10.0,24,0.0,25,-9.999999998554612,1.4453878094400352e-09,0.9999999998554612,8.047642267914173e-05,438,0.29136664867401124,-10.000000000000002,1
147,8,-14.0,42,0.0,15,-13.999999999945635,5.4365401069844665e-11,0.9999999999961168,3.335708430721237e-05,946,0.1416304389635722,-10.000000000000002,1
148,6,-12.0,12,0.0,12,-11.999999999914953,8.504663639996579e-11,0.9999999999929128,3.319196260031671e-05,576,0.09410664637883505,-10.000000000000002,1
149,6,-12.0,18,0.0,50,-11.990703897513031,0.009296102486969104,0.9992253247927526,0.03650347010416905,534,2.126876942316691,-10.000000000000002,0
150,6,-12.0,12,0.0,12,-11.999999999859318,1.4068213260998164e-10,0.9999999999882765,3.322646641249759e-05,568,0.0858255426088969,-10.000000000000002,1
151,8,-14.0,42,0.0,50,-13.998387237946861,0.001612762053138539,0.9998848027104901,0.02251476708176185,946,2.0405304789543153,-10.000000000000002,0
152,5,-10.0,24,0.0,29,-9.9997880893864,0.00021191061360070762,0.9999788089386399,0.009657117333533949,404,0.47276822725931805,-10.000000000000002,1
153,7,-14.0,12,0.0,50,-13.94901699044641,0.050983009553590364,0.9963583564604578,0.01167050266381817,698,2.294197511672974,-10.000000000000002,0
154,7,-14.0,6,0.0,31,-13.999999993490007,6.509992545034038e-09,0.9999999995350005,8.7030356877873e-05,740,0.5180325945218404,-10.000000000000002,1
155,7,-14.0,6,0.0,50,-13.999915800733156,8.419926684410939e-05,0.999993985766654,0.007940769402933201,782,2.0295463959376017,-10.000000000000002,1
156,5,-10.0,36,0.0,27,-9.999961575763528,3.842423647171245e-05,0.9999961575763529,0.007414681896912443,404,0.3376012126604716,-10.000000000000002,1
157,6,-12.0,18,0.0,50,-11.996235767025246,0.003764232974754478,0.9996863139187705,0.039815515182584305,534,2.141076695919037,-10.000000000000002,0
158,5,-10.0,24,0.0,34,-9.999848213094378,0.00015178690562223096,0.9999848213094378,0.00340442344440236,438,0.6364249467849732,-10.000000000000002,1
159,5,-10.0,24,0.0,20,-9.999930101124896,6.989887510400195e-05,0.9999930101124896,0.009188074845119625,404,0.1655238429705302,-10.000000000000002,1
160,6,-12.0,12,0.0,50,-11.997785224828368,0.002214775171632155,0.999815435402364,0.009559131074314465,568,2.3200555086135863,-10.000000000000002,1
161,7,-14.0,12,0.0,49,-13.999828715089768,0.0001712849102322167,0.9999877653635548,0.00899487529229102,698,1.5003387490908304,-10.000000000000002,1
162,6,-12.0,18,0.0,50,-11.99623576574293,0.0037642342570691767,0.9996863138119109,0.03983417668042793,534,3.3655045588811237,-10.000000000000002,0
163,7,-12.0,72,0.0,11,-11.999999998024284,1.975715591129301e-09,0.999999999835357,0.0001056708532512396,774,0.1902018944422404,-10.000000000000002,1
164,8,-16.0,6,0.0,33,-15.901123307602738,0.09887669239726193,0.9938202067251711,0.007213621254148074,904,1.870837938785553,-10.000000000000002,1
165,6,-12.0,12,0.0,21,-11.851851851250855,0.1481481487491454,0.9876543209375712,7.020116357932787e-05,610,0.5072676976521809,-10.000000000000002,1
